,base0,base1,base2,base3,base4,base5,base6,base7,base8,base9,base10,base11,base12,base13,base14,base15,base16,base17,base18,base19,base20,base21,base22,base23,base24,base25,base26,base27,base28,base29,base30,base31,base32,base33,base34,base35,base36,base37,base38,base39,base40,base41,base42,base43,base44,base45,base46,base47,base48,base49,base50,base51
0,0.0,10811.294957836046,18290.60741441413,23944.378085050826,16926.179537130494,9714.24615900652,14045.996419345302,20714.00472916847,19332.94383306717,20301.618137290316,19109.273545772296,25094.44100617618,25160.710833966114,38179.22148558428,25522.857615496916,28603.06963417351,35614.55242104039,31296.411265097355,36444.23223386414,38201.07229287762,44290.11141628079,51398.90719679903,42011.04396759053,39478.53956125332,41872.06649750705,45671.57511138657,49363.58223069232,51445.35157326877,48457.66351206486,44340.08467551293,47605.398105460525,53447.35461241744,56687.78705816007,56895.7428591388,89061.63636219272,54553.606792981336,55199.24965456633,61946.09689243841,56802.876324756435,60316.57835907696,62075.42849799002,67152.64051585615,71933.1570408982,63776.422803040725,68116.10787236359,67475.72278060643,69223.94074580645,74685.67392503352,73557.94857375542,75151.36594272223,75313.66061968112,80398.43883720998
1,10811.294957836046,0.0,9229.729411738488,27054.802481595354,20780.715414893457,13319.799162771666,8885.03923391733,14435.622631881684,22631.119095886992,22057.397992166763,14265.45391676344,18541.027307376335,28458.886096785936,39584.71676780452,21431.7704665675,23580.96849666637,29344.82154740378,27205.324116167936,31572.334275560315,33259.09524672496,39220.64347505098,46086.61190194088,37919.956818661114,35387.45241232391,37180.30388126618,40854.56678666546,44421.60518453966,46503.3745271161,44366.57636313545,40248.99752658352,42984.73737522311,48630.34628769633,51870.778733438965,51953.76581298614,86425.46768466657,49932.946062743926,50578.58892432891,57325.436162201,52711.78917582702,55695.91762883954,57454.76776775261,62531.979785618736,67312.49631066079,59685.3356541113,63825.62133459246,62855.062050369015,64603.280015569035,70065.0131947961,69466.861424826,70530.70521248481,70692.99988944369,75777.77810697255
2,18290.60741441413,9229.729411738488,0.0,34150.639907187826,27876.552840485925,20425.05731938556,15516.597562710796,11502.929640895094,29726.95652147946,27993.10262980399,20036.89425759531,17049.700149148302,35554.72352237841,46951.11305175196,26447.769361190265,22062.028577936886,26529.030062440404,31218.444614270345,30763.182699739904,30403.66163434238,35908.993869069986,42739.887687449605,42068.124524215,37852.410679415945,36388.77473436587,38332.3193581501,41497.36004377593,43579.129386352375,48272.81145997267,43504.49519177085,42943.702972035186,45899.60233999575,49139.44171866661,49029.52067222241,89544.16140603267,49891.911659556004,50498.52826152166,54841.64238423406,55042.26431573303,55654.88322565162,57413.73336456468,62133.756089585535,67271.46190747285,62015.810794017314,64291.53503491668,62814.027647181094,64562.24561238111,70023.97879160818,69950.3967347308,70489.67080929689,70651.96548625577,75736.74370378462
3,23944.378085050826,27054.802481595354,34150.639907187826,0.0,18149.264797763983,16669.44766953885,22753.494291991214,29342.298184528394,13155.6399446106,17289.57978946314,23133.513852571297,30000.91843335917,20254.931847765656,37078.60802933992,28889.726596361623,32016.246014879616,39074.95054517746,33709.96356615852,39509.72221609448,41614.24867358373,47703.2877969869,54812.08357750514,43651.70916796431,41654.52929259789,44387.41776525066,48582.91651167827,52776.758611398414,54858.52795397486,50344.94115107917,46516.0744068575,50120.74937320413,56328.999185433866,59599.12845845177,60308.919239844894,86340.20844021335,57068.95806072495,57714.60092230994,64545.327519927516,58978.866056101004,62831.929626820565,64590.77976573363,69667.99178359978,74448.50830864182,65952.4125343853,70535.00549027018,69991.07404835004,71739.29201355006,77201.02519277713,75733.93830509999,77666.71721046584,77829.01188742471,82913.79010495359
4,16926.179537130494,20780.715414893457,27876.552840485925,18149.264797763983,0.0,11000.01239870901,16584.63865132766,23053.935103934346,13535.305790864733,15639.566211492296,20032.54777285351,26872.665777959493,19363.072791763676,30169.12949031729,24969.796973599507,28226.419170702775,35285.123701000615,29752.343529261514,35568.7328972595,37824.421829406885,43913.460952810055,51022.25673332829,39694.08913106731,37696.909255700884,40429.79772835365,44793.08966750143,48986.931767221584,51068.70110979803,46387.32111418217,42558.4543699605,46163.12933630713,52371.379148536864,55809.30161427494,56519.092395668056,81800.09428540048,53111.33802382794,53756.98088541294,60587.70748303051,55021.246019204,58874.30958992356,60633.159728836625,65710.37174670276,70490.8882717448,61994.79249748829,66577.3854533732,66033.45401145304,67781.67197665306,73243.40515588013,71776.31826820297,73709.09717356884,73871.39185052773,78956.17006805658
5,9714.24615900652,13319.799162771666,20425.05731938556,16669.44766953885,11000.01239870901,0.0,9205.070952211217,15674.75204689435,12421.375047030731,12101.743037353554,11129.745975538382,17969.863980644364,18249.142047929676,25210.45574091847,17076.162647943,20202.68206646099,27261.38659675883,22849.716297543437,28043.844666151617,29800.684725165105,35889.72384856827,42998.519629086506,33564.349000036615,31031.844593699403,33425.37152995313,37224.88014383265,40963.1946629798,43044.96400555624,40010.96854451095,35893.38970795902,39158.7031379066,45000.659644863525,48241.09209060615,48495.35529142628,76205.27535576826,46106.91182542742,46752.55468701241,53499.4019248845,48356.18135720252,51869.883391523035,53628.733530436104,58705.94554830224,63486.46207334428,55329.7278354868,59669.41290480968,59029.02781305251,60777.24577825253,66238.9789574796,65111.2536062015,66704.67097516832,66866.9656521272,71951.74386965606
6,14045.996419345302,8885.03923391733,15516.597562710796,22753.494291991214,16584.63865132766,9205.070952211217,0.0,9901.14756370228,18333.620352378413,17311.26508226688,9519.321006863554,14726.852906436085,24161.387353277358,28478.827512031334,16685.637556667614,18914.959678120966,24885.772823655447,22459.19120626805,26826.201365660432,28512.962336825083,34602.001460228246,41710.797240746484,33173.82390876123,30641.31950242402,32434.1709713663,36108.43387676557,39675.472274639775,41757.24161721622,39620.443453235566,35502.86461668363,38238.604465323224,43884.21337779645,47124.64582353908,47207.632903086254,74654.77086870774,45186.81315284404,45832.45601442903,52579.30325230111,47965.65626592713,50949.784718939656,52708.63485785272,57785.84687571885,62566.36340076089,54939.20274421142,59079.48842469258,58108.92914046913,59857.14710566915,65318.88028489622,64720.728514926115,65784.57230258493,65946.86697954382,71031.64519707268
7,20714.00472916847,14435.622631881684,11502.929640895094,29342.298184528394,23053.935103934346,15674.75204689435,9901.14756370228,0.0,24904.33878492788,20735.761128020695,12780.961548288407,10035.542405255703,29052.64233712592,35726.039697970904,19201.996448373357,15358.33516246143,19825.33664696495,23972.80730859346,24059.489284264448,23895.09467595056,29400.426910678165,36231.320729057785,34822.48721853812,30689.34623957572,29685.08131889042,31823.75239975828,34988.79308538411,37070.562427960554,41027.174154295775,36341.43075193063,36240.00955655973,39391.035381603935,42630.87476027479,42520.95371383059,76614.73872978838,43188.21824408055,43833.861105665535,48333.07542584224,48241.85265299998,48951.18981017616,50710.03994908922,55625.189131193714,60567.7684919974,55215.39913128427,57587.84161944122,56110.33423170564,57858.55219690566,63320.28537613273,63246.703319255335,63785.977393821435,63948.272070780324,69033.05028830918
8,19332.94383306717,22631.119095886992,29726.95652147946,13155.6399446106,13535.305790864733,12421.375047030731,18333.620352378413,24904.33878492788,0.0,9391.59273444725,17973.474852812178,24053.068857067497,8473.21400008146,18764.60171593529,20121.414748489926,24835.29598826123,32134.38884314808,23477.91095083162,29290.974000277758,33822.667876135194,40218.23319277439,47621.347219847594,33419.65655263742,31422.47667727099,34155.36514992376,38783.97128970767,44962.44289868661,47320.12958612628,40112.888535752274,36284.021791530606,39888.69675787724,46093.62025155511,49673.480084632174,51147.40534953938,70260.94811259904,46836.90544539805,47482.548306983044,54309.94858604876,48746.81344077411,52599.87701149368,54358.72715040673,59435.93916827287,64216.455693314914,55720.35991905839,60302.952874943294,59759.02143302315,61507.239398223166,66968.97257745024,65501.88568977309,67434.66459513895,67596.95927209783,72681.73748962668
9,20301.618137290316,22057.397992166763,27993.10262980399,17289.57978946314,15639.566211492296,12101.743037353554,17311.26508226688,20735.761128020695,9391.59273444725,0.0,8970.699326664298,15468.481795589816,10196.826289664314,12089.991184052536,13376.889042411472,16633.511239514744,23692.215769812585,18307.961085409246,23927.143912319832,26231.51389821886,32320.553021622025,39429.34880214026,28249.70668721504,26252.526811848616,28985.415284501385,33151.283685325485,37394.02383603355,39475.793178609994,34942.938670329895,31114.07192610823,34718.74689245486,40923.67038613274,44167.49563209899,44926.18446448003,64864.06911199901,41666.95557997568,42312.598441560665,49139.99872062639,43576.86357535173,47429.92714607129,49188.77728498436,54265.98930285049,59046.505827892535,50550.41005363602,55133.00300952092,54589.07156760077,56337.28953280079,61799.02271202786,60331.935824350716,62264.71472971657,62427.009406675454,67511.78762420431
10,19109.273545772296,14265.45391676344,20036.89425759531,23133.513852571297,20032.54777285351,11129.745975538382,9519.321006863554,12780.961548288407,17973.474852812178,8970.699326664298,0.0,7963.406539495,17287.580535769524,17184.425596636076,7612.6283548716465,10282.022884641,17340.72741493884,13386.18200447208,18193.264572180466,19880.025543345113,25969.06466674828,33077.86044726652,24100.814706965255,21568.310300628047,23739.064534852376,27475.497083285605,31042.535481159804,33124.30482373625,30547.43425143959,26429.85541488766,29543.4980288093,35251.27658431648,38491.709030059115,38574.69610960629,61272.55914103846,36491.70671633011,37137.349577915105,43884.19681578719,38892.64706413116,42254.67828242573,44013.52842133879,49090.74043920493,53871.25696424697,45866.19354241545,50054.20779571237,49413.8227039552,51162.04066915522,56623.7738483823,55647.71931313015,57089.465866071005,57251.760543029886,62336.538760558746
11,25094.44100617618,18541.027307376335,17049.700149148302,30000.91843335917,26872.665777959493,17969.863980644364,14726.852906436085,10035.542405255703,24053.068857067497,15468.481795589816,7963.406539495,0.0,22481.74054534347,27353.396599661915,11731.753454124979,7799.525419718957,12673.992618420067,16132.916124312862,16500.679541521975,17374.34318454015,22948.486947648897,30112.464371453258,26982.59603425752,22596.32290072358,22126.27157614795,25371.812436729015,28536.85312235484,30618.622464931286,32946.38475053373,28248.407413078494,28660.311932431156,32939.09541857467,36178.93479724552,36069.013750801314,63121.10820736413,35608.520619951974,36254.16348153696,41881.13546281296,40598.56856067022,41371.49218604759,43130.34232496066,48207.554342826785,52988.070867868824,47572.11503895451,50008.14399531265,48530.636607577064,50278.85457277708,55740.587752004154,55667.00569512677,56206.27976969286,56368.57444665174,61453.3526641806
